Date (MM/DD/YYYY),Time (min)
1/20/2026,120
1/22/2026,120
1/26/2026,120
1/28/2026,180
2/2/2026,136
2/4/2026,127
2/8/2026,300
2/9/2026,12
2/23/2026,180
2/26/2026,300
2/28/2026,180
3/1/2026,146
3/2/2026,61
3/3/2026,240
3/4/2026,300
3/5/2026,300
3/6/2026,19
3/7/2026,213
3/8/2026,121
3/9/2026,103
3/10/2026,300
3/11/2026,243
3/12/2026,25
3/13/2026,60
3/14/2026,180
3/15/2026,339
3/16/2026,180
3/17/2026,100
3/18/2026,10
3/19/2026,240
3/21/2026,331
3/22/2026,386
3/23/2026,240
3/24/2026,144
3/25/2026,60
3/26/2026,274
3/27/2026,231
3/28/2026,95
3/29/2026,180
3/30/2026,257
3/31/2026,273
4/1/2026,11
4/2/2026,260
4/3/2026,20
4/4/2026,377
4/5/2026,559
4/6/2026,107
4/7/2026,353
4/8/2026,299
4/9/2026,78
4/10/2026,189
4/11/2026,455
4/12/2026,685
4/13/2026,87
4/14/2026,278
4/15/2026,296
4/16/2026,133
4/17/2026,134
4/18/2026,516
4/19/2026,670
4/20/2026,221
4/21/2026,336
4/22/2026,128
4/23/2026,231
4/24/2026,153
4/25/2026,159
4/26/2026,544
4/27/2026,584
4/28/2026,490
4/29/2026,172
4/30/2026,482
5/1/2026,245
5/2/2026,455
5/3/2026,608
5/4/2026,267
5/5/2026,143
5/6/2026,349
5/7/2026,455
5/8/2026,184
5/9/2026,648
5/10/2026,479
5/11/2026,326
5/12/2026,650
5/13/2026,658
5/14/2026,544
5/15/2026,77
5/16/2026,568
5/17/2026,850
5/18/2026,762
5/19/2026,700
5/20/2026,640
5/21/2026,415
5/22/2026,217
5/23/2026,488
5/24/2026,878
5/25/2026,528
5/26/2026,439
5/27/2026,211
5/28/2026,589
5/29/2026,748
5/30/2026,573
5/31/2026,547
6/1/2026,419
6/2/2026,785
6/3/2026,546
6/4/2026,544
6/5/2026,122
6/6/2026,453
6/7/2026,570
6/8/2026,584
6/9/2026,650
6/10/2026,532
6/11/2026,473
6/12/2026,254
